S.No,Name of City,lat,lng
284,Roorkee,29.86233,77.88893
285,Valsad,20.60651,72.93136
286,Ambikapur,23.13338,83.17863
287,Giridih,24.18711,86.30464
288,Chandausi,28.45688,78.78296
289,Purulia,23.33298,86.36696
290,Patan,23.85235,72.13896
291,Bagaha,27.11059,84.08523
292,Hardoi ,27.39739,80.12614
293,Achalpur,21.25512,77.51181
294,Osmanabad,18.1853,76.04073
295,Deesa,24.25817,72.19072
296,Nandurbar,21.36849,74.24551
297,Azamgarh,26.07361,83.18596
298,Ramgarh,23.63298,85.51231
299,Firozpur,30.9492,74.76357
300,Baripada Town,38.89037,-77.03196
301,Karwar,14.81832,74.13453
302,Siwan,26.22424,84.3603
303,Rajampet,14.20388,79.14972
304,Pudukkottai,10.38518,78.79233
305,Anantnag,33.72988,75.15084
306,Tadpatri,14.91845,77.99924
307,Satara,17.68631,74.00803
308,Bhadrak,21.06327,86.49953
309,Kishanganj,26.10265,87.94312
310,Suryapet,17.15349,79.62007
311,Wardha,20.73545,78.59485
312,Ranebennuru,14.57207,75.69275
313,Amreli,21.60517,71.21625
314,Neyveli (TS),11.62447,79.4645
315,Jamalpur,23.06973,87.98942
316,Marmagao,38.89037,-77.03196
317,Udgir,18.39323,77.11366
318,Tadepalligudem,16.814,81.52708
319,Nagapattinam,10.7769,79.84062
320,Buxar,25.57225,83.97208
321,Aurangabad,19.87016,75.346
322,Jehanabad,25.21343,84.98535
323,Phagwara,31.22453,75.76915
324,Khair,27.94025,77.84541
325,Sawai Madhopur,26.01052,76.35776
326,Kapurthala,31.37775,75.39097
327,Chilakaluripet,16.10038,80.16134
328,Aurangabad,19.87016,75.346
329,Malappuram,11.13302,76.15555
330,Rewari,28.20085,76.61068
331,Nagaur,27.20166,73.73202
332,Sultanpur,26.25824,82.0681
333,Nagda,23.45225,75.4183
334,Port Blair,11.6638,92.73498
335,Lakhisarai,25.16772,86.09556
336,Panaji,15.45846,73.80564
337,Tinsukia,27.48771,95.35682
338,Itarsi,22.6132,77.77594
339,Kohima,25.66288,94.09311
340,Balangir,20.7064,83.48973
341,Nawada,24.8867,85.54393
342,Jharsuguda,21.86528,84.02454
343,Jagtial,18.78827,78.91405
344,Viluppuram,11.9379,79.5019
345,Amalner,21.04209,75.06307
346,Zirakpur,30.65835,76.82092
347,Tanda,26.54921,82.65812
348,Tiruchengode,11.38037,77.89507
349,Nagina,29.43435,78.43173
350,Yemmiganur,15.77193,77.47888
351,Vaniyambadi,12.68608,78.61957
352,Sarni,22.1072,78.17477
353,Theni Allinagaram,10.01094,77.44566
354,Margao,15.2747,73.98012
355,Akot,21.09742,77.05497
356,Sehore,23.20106,77.07711
357,Mhow Cantonment,25.33444,82.97839
358,Kot Kapura,30.58409,74.82514
359,Makrana,27.03149,74.72553
360,Pandharpur,17.66675,75.31331
361,Miryalaguda,16.86095,79.5528
362,Shamli,29.44477,77.31707
363,Seoni,22.08386,79.54779
364,Ranibennur,14.61968,75.62818
365,Kadiri,14.11197,78.16147
366,Shrirampur,19.61944,74.65683
367,Rudrapur,28.98111,79.40148
368,Parli,18.84323,76.51987
369,Najibabad,29.60416,78.33406
370,Nirmal,19.08685,78.33975
371,Udhagamandalam,11.40556,76.70051
372,Shikohabad,27.11429,78.58954
373,Jhumri Tilaiya,24.43413,85.52845
374,Aruppukkottai,9.5028,78.11146
375,Ponnani,10.76724,75.9362
376,Jamui,24.92142,86.22538
377,Sitamarhi,26.5797,85.50934
378,Chirala,15.82748,80.35564
379,Anjar,23.11211,70.02414
380,Karaikal,10.92549,79.83228
381,Hansi,29.09591,75.96788
382,Anakapalle,17.68977,83.00222
383,Mahasamund,21.1111,82.09559
384,Faridkot,30.65548,74.76948
385,Saunda,23.66222,85.338
386,Dhoraji,21.73393,70.45016
387,Paramakudi,9.54205,78.59099
388,Balaghat,21.81664,80.18473
389,Sujangarh,27.70746,74.4595
390,Khambhat,22.32403,72.62117
391,Muktsar,30.47506,74.51941
392,Rajpura,30.47588,76.58966
393,Kavali,14.91288,79.99058
394,Dhamtari,20.70647,81.5494
395,Ashok Nagar,12.97058,77.60917
396,Sardarshahar,28.44254,74.49593
397,Mahuva,21.09192,71.76915
398,Bargarh,21.33767,83.62123
399,Kamareddy,18.33272,78.34374
400,Sahibganj,25.24196,87.63777
401,Kothagudem,17.5433,80.619
402,Ramanagaram,12.71533,77.27396
403,Gokak,16.16506,74.82464
404,Tikamgarh,24.74429,78.83302
405,Araria,26.13289,87.45705
406,Rishikesh,30.08645,78.26657
407,Shahdol,23.62045,81.47451
408,Medininagar (Daltonganj),24.03899,84.07679
409,Arakkonam,13.07933,79.66644
410,Washim,20.10821,77.14092
411,Sangrur,30.25108,75.83437
412,Bodhan,18.65457,77.89301
413,Fazilka,30.40896,74.03481
414,Palacole,16.51828,81.72537
415,Keshod,21.30126,70.25073
416,Sullurpeta,13.70146,80.01845
417,Wadhwan,22.70941,71.67967
418,Gurdaspur,32.04088,75.40136
419,Vatakara,11.59479,75.59471
420,Tura,47.61168,19.59857
421,Narnaul,28.05378,76.10546
422,Kharar,30.74949,76.64166
423,Yadgir,16.76094,77.13667
424,Ambejogai,18.72085,76.37143
425,Ankleshwar,21.63526,73.01752
426,Savarkundla,21.34028,71.32037
427,Paradip,20.28623,86.64209
428,Virudhachalam,11.51604,79.32668
429,Kanhangad,12.32419,75.08527
430,Kadi,23.29683,72.33692
431,Srivilliputhur,9.5123,77.63271
432,Gobindgarh,30.32476,78.01849
433,Tindivanam,12.22681,79.65085
434,Mansa,23.42609,72.65793
435,Taliparamba,12.04184,75.36892
436,Manmad,20.25275,74.43722
437,Tanuku,16.76436,81.67882
438,Rayachoti,14.05856,78.75196
439,Virudhunagar,9.58919,77.95368
440,Koyilandy,11.43071,75.69996
441,Jorhat,26.76765,94.20651
442,Karur,10.95921,78.07722
443,Valparai,10.32695,76.95509
444,Srikalahasti,13.75178,79.70711
445,Neyyattinkara,8.39905,77.08795
446,Bapatla,15.90726,80.47715
447,Fatehabad,29.51388,75.44979
448,Malout,30.20538,74.49415
449,Sankarankovil,9.17763,77.53518
450,Tenkasi,8.9635,77.30821
451,Ratnagiri,16.99214,73.2919
452,Rabkavi Banhatti,16.47799,75.12304
453,Sikandrabad,28.44985,77.69648
454,Chaibasa,22.54577,85.80507
455,Chirmiri,23.1785,82.35231
456,Palwancha,17.59847,80.70547
457,Bhawanipatna,19.90585,83.1613
458,Kayamkulam,9.16981,76.49895
459,Pithampur,22.61495,75.69199
460,Nabha,30.3708,76.15247
461,"Shahabad, Hardoi",27.64281,79.94611
462,Dhenkanal,20.82693,85.53075
463,Uran Islampur,17.0508,74.26841
464,Gopalganj,23.02658,89.83412
465,Bongaigaon City,26.46936,90.56083
466,Palani,10.46158,77.51865
467,Pusad,19.91042,77.56779
468,Sopore,34.24372,74.44659
469,Pilkhuwa,28.71562,77.65587
470,Tarn Taran,31.45959,74.92212
471,Renukoot,24.21029,83.03781
472,Mandamarri,18.98794,79.48176
473,Shahabad,30.16454,76.86337
474,Barbil,22.10371,85.38375
475,Koratla,18.82211,78.72527
476,Madhubani,26.35503,86.07316
477,Arambagh,22.87921,87.79058
478,Gohana,29.13641,76.7022
479,Ladnu,27.6328,74.39111
480,Pattukkottai,10.42286,79.31952
481,Sirsi,14.6208,74.83325
482,Sircilla,18.39126,78.80936
483,Tamluk,22.29108,87.92324
484,Jagraon,30.80243,75.46728
485,AlipurdUrban Agglomerationr,38.89037,-77.03196
486,Alirajpur,22.30594,74.35548
487,Tandur,17.2578,77.58791
488,Naidupet,16.26744,80.35597
489,Tirupathur,12.49519,78.56801
490,Tohana,29.72272,75.90719
491,Ratangarh,28.07769,74.61964
492,Dhubri,26.02571,89.9721
493,Masaurhi,25.35927,85.0398
494,Visnagar,23.70434,72.54528
495,Vrindavan,27.56162,77.68258
496,Nokha,27.55792,73.47387
497,Nagari,13.32141,79.58571
498,Narwana,29.59742,76.11576
499,Ramanathapuram,9.36025,78.83724
500,Ujhani,28.00538,78.99855
501,Samastipur,25.86357,85.77874
502,Laharpur,27.71181,80.89944
503,Sangamner,19.59567,74.19427
504,Nimbahera,24.6207,74.68508
505,Siddipet,18.10342,78.84708
506,Suri,23.90365,87.52777
507,Diphu,25.84703,93.42487
508,Jhargram,22.44972,86.99701
509,Shirpur-Warwade,21.35561,74.88697
510,Tilhar,27.9629,79.73775
511,Sindhnur,15.77024,76.75582
512,Udumalaipettai,10.58596,77.25068
513,Malkapur,20.89014,76.20135
514,Wanaparthy,16.36144,78.06529
515,Gudur,14.14746,79.84709
516,Kendujhar,21.53762,85.70484
517,Mandla,22.60958,80.37007
518,Mandi,31.70922,76.93197
519,Nedumangad,8.60332,77.00247
